1:[memory/buddy_malloc.cpp:62]blockShiftBit: 9(512), blockPow: 13(8192), buffer: 0x10e7ca000
2:[memory/buddy_malloc.cpp:84]size: 4096, pow(size): 3(8 blocks), idx: 1023, offset: 0, alloc: 0x10e7ca000
426:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
430:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
441:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
454:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
458:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
462:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
473:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
486:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
490:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
494:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
505:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
518:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
522:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
526:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
537:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
550:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
554:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
